,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
263,Bartica,20,GY,1570697969,100,6.41,-58.62,75.2,2.24
264,Malanje,91,AO,1570697971,69,-9.54,16.35,77.31,4.04
265,Beringovskiy,5,RU,1570697972,62,63.05,179.32,32.94,6.41
266,Puerto,0,AR,1570697973,69,-51.62,-69.23,35.6,31.09
267,Colac,99,AU,1570697975,88,-38.34,143.59,52.0,4.12
268,Baruun-Urt,72,MN,1570697976,20,46.68,113.28,39.81,6.83
269,Roald,75,NO,1570697977,66,62.58,6.12,50.0,10.29
270,Camocim,2,BR,1570697979,76,-2.9,-40.84,74.23,13.86
271,Livny,100,RU,1570697980,97,52.43,37.61,47.91,13.29
272,Clyde,100,NZ,1570697981,95,-45.19,169.32,41.0,4.0
273,Teguldet,0,RU,1570697983,43,57.31,88.17,40.12,7.94
274,Jinka,35,ET,1570697984,84,5.79,36.57,74.03,2.69
275,West,90,US,1570697986,78,31.8,-97.09,80.01,17.22
276,Sinegorye,100,RU,1570697987,96,62.09,150.53,15.46,1.77
277,Tucumcari,1,US,1570697989,47,35.17,-103.73,59.0,3.36
278,Pisco,90,PE,1570697990,87,-13.71,-76.2,59.0,5.82
279,Port,100,CD,1570697992,55,-7.04,29.76,78.4,3.96
280,Luanda,75,AO,1570697993,74,-8.83,13.24,78.8,4.7
281,Smithers,1,CA,1570697995,92,54.78,-127.17,24.8,2.17
282,Save,95,BJ,1570697996,81,8.04,2.49,79.5,5.48
283,Airai,37,TL,1570697998,52,-8.93,125.41,73.63,5.1
284,Celestun,0,MX,1570697999,84,20.87,-90.4,80.11,12.5
285,San,22,ML,1570698000,33,13.3,-4.9,88.86,11.95
286,Paratebueno,98,CO,1570698006,95,4.38,-73.21,69.75,1.3
287,Toora-Khem,0,RU,1570698008,34,52.47,96.11,40.42,3.9
288,Leningradskiy,25,RU,1570698009,71,69.38,178.42,25.65,13.78
289,Uruzgan,0,AF,1570698011,11,32.93,66.63,66.7,10.25
290,Hovd,2,NO,1570698012,81,63.83,10.7,44.01,8.05
291,Ballina,90,IE,1570698013,93,54.11,-9.15,55.99,11.41
292,Praia,75,BR,1570698015,68,-20.25,-43.81,69.8,11.41
293,Sorata,0,BO,1570698016,45,-15.77,-68.65,30.43,1.79
294,College,90,US,1570698018,100,64.86,-147.8,37.4,1.23
295,Olimpia,62,IT,1570698019,68,44.99,8.54,69.01,8.05
296,Cochrane,100,CL,1570698020,98,-47.25,-72.57,30.78,5.26
297,Lingao,2,CN,1570698022,77,19.91,109.69,83.7,13.83
298,Lavrentiya,0,RU,1570698023,72,65.58,-170.99,31.26,10.84
299,Terrace,5,CA,1570698025,100,54.52,-128.61,28.4,2.24
300,Port,100,CD,1570698026,55,-7.04,29.76,78.4,3.96
301,Byron,1,US,1570698028,93,32.65,-83.76,62.6,5.36
302,Alofi,52,NU,1570698029,94,-19.06,-169.92,73.4,2.24
303,San,22,ML,1570698030,33,13.3,-4.9,88.86,11.95
304,Luwingu,0,ZM,1570698032,22,-10.26,29.92,92.17,8.4
305,Mlonggo,40,ID,1570698033,58,-6.53,110.7,87.8,12.75
306,Paso,57,CR,1570698035,83,9.37,-84.02,68.0,3.21
307,Termez,32,AF,1570698036,17,37.23,67.28,84.2,6.93
308,Khuzhir,100,RU,1570698037,44,53.19,107.35,32.11,15.39
309,Inhambane,75,MZ,1570698039,74,-23.87,35.38,78.8,11.41
310,Livingston,75,US,1570698040,78,32.58,-88.19,73.0,5.24
311,Yumen,10,CN,1570698041,18,40.29,97.04,68.52,8.89
312,Abha,40,SA,1570698043,28,18.22,42.5,75.2,13.87
313,Gallup,1,US,1570698045,40,35.53,-108.74,51.8,9.17
314,Apac,99,UG,1570698046,81,1.98,32.53,78.01,2.55
315,Mar,70,CN,1570698047,24,29.86,90.73,45.54,14.39
316,Ucluelet,0,CA,1570698049,90,48.94,-125.55,34.0,1.01
317,San,22,ML,1570698050,33,13.3,-4.9,88.86,11.95
318,Capoterra,0,IT,1570698051,73,39.18,8.97,73.0,10.29
319,Ahipara,100,NZ,1570698053,100,-35.17,173.16,62.01,11.86
320,Cidreira,0,BR,1570698054,85,-30.17,-50.22,66.56,11.69
321,Comodoro,67,BR,1570698055,74,-13.66,-59.79,70.83,2.8
322,Kolpashevo,3,RU,1570698056,50,58.31,82.9,44.22,8.46
323,Vardo,90,US,1570698058,76,39.62,-77.74,52.0,3.36
324,Buraydah,40,SA,1570698059,36,26.33,43.97,95.0,5.82
325,Cockburn,0,AU,1570698061,22,-32.08,141.0,69.8,9.17
326,Manono,58,CD,1570698062,52,-7.3,27.4,90.36,1.4
327,Chapada,56,BR,1570698063,87,-3.91,-40.78,65.5,17.36
328,Amga,100,RU,1570698065,85,60.89,131.98,23.52,5.39
329,Wattegama,100,LK,1570698066,87,7.35,80.68,79.84,2.56
330,Grand,91,FR,1570698067,81,48.39,5.49,55.4,14.99
331,Asosa,8,ET,1570698069,62,10.07,34.53,81.41,3.07
332,Neiafu,2,TO,1570698070,82,-18.65,-173.98,78.66,15.02
333,Tura,0,RU,1570698071,78,64.27,100.22,19.54,2.29
334,Buford,40,US,1570698073,68,32.46,-100.86,75.0,6.93
335,Atar,96,MR,1570698074,19,20.52,-13.05,87.48,20.58
336,Burnie,76,AU,1570698075,73,-41.05,145.91,53.01,1.99
337,Manjacaze,100,MZ,1570698077,87,-24.71,33.88,72.07,11.94
338,Udachnyy,90,RU,1570698078,78,66.42,112.4,17.6,13.42
339,Kuala,97,ID,1570698080,46,3.38,98.62,86.0,2.47
340,Nuuk,65,GL,1570698081,86,64.17,-51.74,33.8,6.93
341,Ust-Tsilma,100,RU,1570698082,82,65.44,52.15,34.56,6.91
342,Chumikan,100,RU,1570698083,96,54.72,135.31,36.9,3.37
343,Sheridan,90,US,1570698085,92,39.65,-105.03,30.2,16.11
344,Petropavlovsk-Kamchatskiy,10,RU,1570698086,75,53.05,158.65,44.6,6.71
345,Birjand,0,IR,1570698088,16,32.86,59.22,77.0,16.11
346,Porto,0,PT,1570698089,82,41.15,-8.61,63.0,1.12
347,Doka,28,SD,1570698091,55,13.52,35.76,86.22,4.65
348,Kaeo,100,NZ,1570698092,100,-35.1,173.78,62.01,20.02
349,Shimanovsk,0,RU,1570698093,47,52.0,127.67,33.19,6.39
350,Biak,60,ID,1570698095,79,-0.91,122.88,81.59,12.01
351,Ponte,0,PT,1570698096,82,41.47,-8.34,63.0,1.12
352,Fez,77,MA,1570698098,36,34.03,-5.02,75.2,6.93
353,Gaborone,0,BW,1570698099,9,-24.66,25.91,86.0,10.29
354,Iwase,75,JP,1570698100,68,36.35,140.1,77.0,8.05
355,Kualakapuas,40,ID,1570698102,52,-3.01,114.39,93.2,9.17
356,Nayoro,0,JP,1570698103,93,44.36,142.46,48.33,4.63
357,Antalaha,0,MG,1570698104,76,-14.9,50.28,77.25,13.29
358,Chivacoa,87,VE,1570698106,96,10.16,-68.9,69.8,2.98
359,Sobolevo,100,RU,1570698107,97,54.43,31.9,44.89,9.96
360,Gorodets,90,RU,1570698109,87,56.65,43.48,45.0,2.24
361,Izhma,94,RU,1570698110,75,65.01,53.91,34.75,7.45
362,Letka,75,BA,1570698111,77,43.74,17.27,62.6,2.24
363,Kununurra,70,AU,1570698113,5,-15.77,128.74,100.4,11.41
364,Kahului,40,US,1570698114,78,20.89,-156.47,80.6,12.75
365,Padang,90,ID,1570698116,94,-0.92,100.36,72.9,3.0
366,Lamont,1,CA,1570698117,67,53.76,-112.78,24.01,8.05
367,Soltsy,100,RU,1570698118,91,58.12,30.32,47.43,9.01
368,Howick,100,ZA,1570698120,79,-29.48,30.22,61.0,1.01
369,Azle,40,US,1570698121,73,32.9,-97.55,79.0,16.11
370,Makakilo,40,US,1570698123,78,21.35,-158.09,80.6,6.93
371,Vila,62,IT,1570698125,100,45.18,8.4,59.0,3.36
372,Tynda,100,RU,1570698126,55,55.15,124.74,23.05,6.99
373,Saint-Joseph,75,FR,1570698127,52,43.56,6.97,70.0,3.36
374,Maceio,40,BR,1570698129,94,-9.67,-35.74,68.0,1.12
375,Coihaique,90,CL,1570698131,93,-45.58,-72.07,44.6,3.36
376,Komsomolskiy,100,RU,1570698132,98,67.55,63.78,35.31,5.21
377,Acapulco,75,MX,1570698134,83,16.86,-99.88,80.6,5.82
378,Arivonimamo,20,MG,1570698135,47,-19.01,47.18,75.2,9.17
379,Benguela,89,AO,1570698137,81,-12.58,13.4,74.21,5.29
380,Sorochinsk,95,RU,1570698139,57,52.43,53.15,47.75,9.62
381,Cap,40,FR,1570698140,76,49.27,-1.21,63.0,13.87
382,Vallenar,13,CL,1570698141,67,-28.58,-70.76,47.28,2.38
383,Zhanaozen,0,KZ,1570698143,26,43.35,52.85,58.37,9.94
384,Yorosso,60,ML,1570698144,62,12.35,-4.78,82.81,11.77
385,Ridgecrest,1,US,1570698146,16,35.62,-117.67,64.4,21.92
386,Kalashnikovo,100,RU,1570698147,95,57.28,35.23,43.41,6.68
387,Bull,75,LR,1570698148,88,6.2,-10.28,80.6,5.9
388,Sur,0,OM,1570698150,29,22.57,59.53,95.47,9.22
389,Fuyang,82,CN,1570698151,64,32.89,115.81,70.74,5.89
390,Ganserndorf,75,AT,1570698152,51,48.34,16.72,61.0,12.75
391,Hailun,0,CN,1570698154,45,47.46,126.97,45.86,7.83
392,Pacific,1,US,1570698155,80,47.26,-122.25,41.0,2.14
393,Linxia,100,CN,1570698156,45,35.6,103.21,52.39,2.77
394,Key,90,US,1570698158,82,32.73,-101.8,75.0,6.93
395,Luderitz,2,NA,1570698159,64,-26.65,15.16,73.4,19.46
396,Kupang,20,ID,1570698160,58,-10.16,123.6,86.0,6.93
397,Bereda,0,ES,1570698162,100,43.27,-7.54,60.01,3.36
398,Myshkin,100,RU,1570698163,80,57.78,38.45,43.56,7.53
399,Sibolga,100,ID,1570698164,93,1.74,98.78,76.84,2.52
400,Kailua,40,US,1570698166,78,21.39,-157.74,80.6,6.93
401,San,22,ML,1570698167,33,13.3,-4.9,88.86,11.95
402,Sao,30,IN,1570698169,61,20.51,76.21,83.82,6.08
403,Mzimba,0,MW,1570698170,27,-11.9,33.6,88.95,10.62
404,Belluru,73,IN,1570698171,66,12.98,76.73,81.12,4.3
405,Amazar,100,RU,1570698172,56,53.86,120.88,24.15,5.2
406,Ler,0,NO,1570698174,76,63.2,10.3,44.01,8.05
407,Saint-Pierre,90,FR,1570698175,93,48.95,4.24,57.2,13.87
408,Tual,0,ID,1570698176,84,-5.67,132.75,78.55,10.96
409,Saint-Francois,90,FR,1570698178,76,46.42,3.91,57.2,6.93
410,Kloulklubed,75,PW,1570698179,70,7.04,134.26,86.0,14.99
411,Haines,1,US,1570698180,68,44.91,-117.94,24.8,6.93
412,Kendari,60,ID,1570698182,67,-3.99,122.52,81.9,4.7
413,Marystown,29,CA,1570698183,71,47.17,-55.16,46.96,5.54
414,Buin,100,CL,1570698184,46,-33.73,-70.74,53.6,2.24
415,Sterling,90,US,1570698186,81,39.0,-77.4,57.2,4.7
416,Nanyamba,100,MZ,1570698187,42,-10.69,39.81,90.82,13.09
417,Erdenet,94,MN,1570698189,68,49.03,104.04,31.69,9.67
418,Gemena,83,CD,1570698190,66,3.25,19.78,81.7,4.08
419,Boguchany,0,RU,1570698191,45,58.38,97.46,31.35,3.96
420,Baykit,0,RU,1570698193,47,61.68,96.39,28.99,2.93
421,Lewisporte,5,CA,1570698194,86,49.25,-55.06,39.2,6.93
422,Okhotsk,100,RU,1570698195,98,59.36,143.24,35.98,2.59
423,Narodychi,35,UA,1570698197,66,51.2,29.09,58.55,21.16
424,Redcliffe,40,AU,1570698198,56,-31.94,115.94,71.01,13.87
425,San,22,ML,1570698199,33,13.3,-4.9,88.86,11.95
426,Champerico,99,MX,1570698201,99,16.38,-93.6,67.75,1.52
427,Atherton,20,AU,1570698202,73,-17.27,145.48,77.0,3.36
428,Dharmadam,40,IN,1570698204,79,11.78,75.43,89.6,6.93
429,Gewane,52,ET,1570698205,32,10.16,40.66,89.87,5.78
430,Buala,94,SB,1570698206,82,-8.15,159.59,80.37,4.93
431,Valvedditturai,41,LK,1570698208,70,9.82,80.17,83.41,2.63
432,Sheregesh,83,RU,1570698209,57,52.93,87.98,49.64,3.66
433,Taltal,56,CL,1570698210,88,-25.41,-70.49,49.1,4.56
434,Warmbad,75,DE,1570698212,87,50.67,13.08,52.0,6.93
435,Deniliquin,67,AU,1570698213,52,-35.53,144.96,59.0,8.01
436,Baft,0,IR,1570698214,13,29.23,56.61,75.87,9.86
437,Turukhansk,13,RU,1570698216,42,65.8,87.96,32.72,9.07
438,Mao,20,DO,1570698217,100,19.55,-71.08,79.0,3.36
439,Egvekinot,2,RU,1570698219,72,66.32,-179.17,15.24,0.94
440,Muhos,40,FI,1570698220,86,64.81,26.0,41.0,6.93
441,Arlit,2,NE,1570698221,41,18.74,7.39,87.08,10.82
442,Raniganj,64,IN,1570698223,59,23.61,87.12,93.99,7.54
443,Khorixas,4,NA,1570698224,11,-20.37,14.96,91.15,16.58
444,Changde,98,CN,1570698225,57,29.04,111.68,77.14,15.09
445,Kidal,7,ML,1570698227,37,18.44,1.41,91.51,16.28
446,Borovichi,100,RU,1570698228,90,58.39,33.91,42.66,8.14
447,Zhaotong,100,CN,1570698230,89,27.34,103.71,55.09,5.94
448,Novy,0,RU,1570698231,64,44.72,38.33,66.0,1.01
449,Havelock,90,US,1570698233,82,34.88,-76.9,63.0,9.17
450,Khonsa,88,IN,1570698234,98,26.99,95.51,69.46,1.3
451,Tiznit,56,MA,1570698235,21,29.7,-9.73,78.6,11.22
452,Congonhas,100,BR,1570698236,95,-20.5,-43.86,63.61,4.55
453,Tygda,0,RU,1570698238,51,53.11,126.33,30.22,8.21
454,Ambon,89,FR,1570698239,87,47.55,-2.56,61.0,3.36
455,Hamilton,1,CA,1570698240,100,43.26,-79.87,51.01,3.36
456,Mount,40,GB,1570698242,81,53.66,-1.85,55.99,14.99
457,Yongan,49,CN,1570698243,29,39.7,113.69,59.77,3.37
458,Tucupita,100,VE,1570698244,99,9.06,-62.05,72.93,1.93
459,Shingu,75,JP,1570698246,73,33.72,135.99,75.2,4.7
460,Kurchum,0,KZ,1570698247,40,48.57,83.65,62.58,3.29
461,Gat,20,SN,1570698249,78,14.69,-16.54,82.4,3.36
462,Shar,88,NG,1570698250,78,7.3,8.73,80.8,5.29
463,Erzin,40,TR,1570698251,48,36.95,36.2,86.0,3.36
464,Zhongshan,20,CN,1570698253,70,22.52,113.37,89.01,8.05
465,Stavrovo,100,RU,1570698254,89,56.13,40.01,46.63,7.02
466,Tabas,0,IR,1570698255,8,33.6,56.92,91.4,6.93
467,Aksu,0,KZ,1570698257,30,52.04,76.93,69.8,11.18
468,Yerbogachen,100,RU,1570698258,78,61.28,108.01,21.58,8.29
469,San,22,ML,1570698259,33,13.3,-4.9,88.86,11.95
470,Neckarsulm,90,DE,1570698261,87,49.19,9.22,55.4,11.41
471,Nome,40,US,1570698262,88,30.04,-94.42,82.0,3.36
472,Filadelfia,0,PY,1570698263,48,-22.35,-60.04,72.03,6.0
473,Mitu,0,IR,1570698264,17,36.2,46.09,77.16,1.45
474,Hofn,20,IS,1570698266,60,64.25,-15.21,42.8,34.45
475,Manaure,100,CO,1570698267,76,11.78,-72.45,83.5,15.65
476,Kirakira,100,SB,1570698269,87,-10.46,161.92,76.98,6.73
477,Ocampo,0,MX,1570698270,64,27.32,-102.4,67.8,5.9
478,Baraboo,1,US,1570698271,81,43.47,-89.74,55.99,3.36
479,Sydney,40,AU,1570698273,63,-33.85,151.22,62.6,14.99
480,Guarapari,40,BR,1570698274,88,-20.67,-40.5,79.0,5.82
481,Constantine,0,DZ,1570698276,72,36.36,6.61,60.8,2.24
482,Oriximina,20,BR,1570698277,91,-1.77,-55.87,75.58,4.09
483,Ostrovnoy,67,RU,1570698278,87,68.05,39.51,33.44,12.78
484,Noumea,8,NC,1570698280,60,-22.28,166.46,77.0,2.24
485,Bahia,14,BR,1570698281,83,-3.55,-40.25,71.35,2.87
486,Bubaque,35,GW,1570698283,75,11.28,-15.83,82.54,9.14
487,Westport,90,US,1570698284,62,41.14,-73.36,57.0,19.46
488,Tilichiki,100,RU,1570698285,75,60.47,166.1,30.34,15.18
489,Mantua,75,IT,1570698287,82,45.16,10.79,64.99,5.82
490,Freeport,98,BS,1570698288,77,26.54,-78.7,79.41,5.59
491,Sulangan,100,PH,1570698289,68,11.14,123.72,84.11,4.51
492,Kosonsoy,65,UZ,1570698291,22,41.25,71.55,75.2,4.7
493,Belyy,100,RU,1570698292,93,55.83,32.94,46.51,6.84
494,Shimoda,75,JP,1570698293,57,34.7,138.93,77.0,14.99
495,Altay,0,CN,1570698295,30,47.83,88.13,53.01,7.08
496,Grootfontein,79,NA,1570698296,13,-19.56,18.1,80.6,12.75
497,Brewster,90,US,1570698297,87,41.76,-70.08,55.99,17.22
498,Karpogory,81,RU,1570698299,78,64.0,44.44,39.54,9.67
499,Peschanokopskoye,0,RU,1570698300,46,46.18,41.08,63.55,8.15
500,Hobyo,0,SO,1570698302,55,5.35,48.53,87.35,10.74
501,Elkhart,75,US,1570698303,75,37.01,-101.89,51.8,29.97
502,Zeya,0,RU,1570698304,52,53.74,127.27,29.82,7.27
503,Jalu,100,LY,1570698306,16,29.03,21.55,93.43,0.82
504,Farah,0,AF,1570698307,8,32.37,62.11,91.67,17.22
505,Shunyi,75,CN,1570698308,68,40.13,116.65,75.99,4.47
506,Sidney,90,US,1570698310,79,47.72,-104.16,28.99,12.75
507,Oksovskiy,72,RU,1570698311,88,62.61,39.91,37.63,8.14
508,Santa,1,PH,1570698312,77,17.49,120.43,80.4,2.93
509,Cayenne,40,GF,1570698314,94,4.94,-52.33,71.6,3.31
510,Daura,74,NG,1570698315,51,13.04,8.32,83.12,3.36
511,Ambulu,3,ID,1570698317,86,-8.35,113.61,77.43,16.51
512,Ayagoz,0,KZ,1570698318,21,47.96,80.43,68.65,2.91
513,Bath,75,GB,1570698319,87,51.38,-2.36,57.2,11.41
514,San,22,ML,1570698320,33,13.3,-4.9,88.86,11.95
515,Romhany,40,HU,1570698322,77,47.93,19.26,63.0,8.05
516,Dingle,100,PH,1570698323,85,11.0,122.67,80.53,3.68
517,Lima,90,PE,1570698324,93,-12.06,-77.04,59.0,6.93
518,Grand,91,FR,1570698326,81,48.39,5.49,55.4,14.99
519,Qaqortoq,0,GL,1570698327,68,60.72,-46.03,30.2,5.76
520,Chicama,90,PE,1570698328,87,-7.84,-79.15,60.8,4.7
521,San,22,ML,1570698330,33,13.3,-4.9,88.86,11.95
522,Sangmelima,100,CM,1570698331,71,2.93,11.98,77.58,3.03
523,Socorro,1,US,1570698333,45,31.65,-106.3,73.4,9.17
524,Lloydminster,90,CA,1570698334,63,53.28,-110.01,26.6,8.05
525,Dunmore,1,US,1570698335,71,41.42,-75.63,52.0,4.7
526,Fort,58,IN,1570698337,66,17.96,79.61,85.91,2.09
527,Waldkirchen,66,AT,1570698338,82,48.73,13.6,57.0,1.99
528,Liverpool,20,GB,1570698339,76,53.41,-2.98,55.99,11.41
